Type,Airline,Year,Month,Aircraft Number,Aircraft Hours,Aircraft Kilometres,Passenger Number,Passenger Kilometers,Seat Kilometers,Passenger Load Factor,Freight,Mail,Total Cargo,Passenger Tonne Kilometer,Mail Tonne Kilometer,Freight Tonne Kilometer,Total Tonne Kilometer,Available Tonne Kilometer,Weight Load Factor
NonScheduledDomestic,Air India,2016,09,203,277.000,109.000,25579.000,13625.000,15542.000,87.666,0.000,0.000,0.000,1022.000,0.000,0.000,1022.000,1519.000,67.281
NonScheduledDomestic,Air India,2016,10,209,295.000,136.000,24948.000,13782.000,19098.000,72.165,0.000,0.000,0.000,1034.000,0.000,0.000,1034.000,1877.000,55.088
NonScheduledDomestic,Air India,2016,11,140,225.000,103.000,15679.000,11357.000,15211.000,74.663,0.000,0.000,0.000,852.000,0.000,0.000,852.000,1877.000,45.392
NonScheduledDomestic,Air India,2016,12,192,270.000,113.000,25337.000,15150.000,16909.000,89.597,0.000,0.000,0.000,1136.000,0.000,0.000,1136.000,1649.000,68.890
NonScheduledDomestic,Air India,2017,01,170,250.000,111.000,21843.000,12967.000,15467.000,83.837,0.000,0.000,0.000,972.000,0.000,0.000,972.000,1467.000,66.258
NonScheduledDomestic,Air India,2017,02,226,330.000,151.000,28983.000,17334.000,21135.000,82.016,0.000,0.000,0.000,1300.000,0.000,0.000,1300.000,2091.000,62.171
NonScheduledDomestic,Air India,2017,03,232,318.000,131.000,28786.000,16485.000,18847.000,87.468,0.000,0.000,0.000,1236.000,0.000,0.000,1236.000,1855.000,66.631
NonScheduledDomestic,Air India,2017,04,181,248.000,98.000,23753.000,12720.000,14686.000,86.613,0.000,0.000,0.000,954.000,0.000,0.000,954.000,1405.000,67.900
NonScheduledDomestic,Air India,2017,05,185,255.000,101.000,24377.000,13581.000,15204.000,89.325,0.000,0.000,0.000,1019.000,0.000,0.000,1019.000,1461.000,69.747
NonScheduledDomestic,Air India,2017,06,174,239.000,95.000,22738.000,12299.000,13996.000,87.875,0.000,0.000,0.000,922.000,0.000,0.000,922.000,1353.000,68.145
NonScheduledDomestic,Air India,2017,07,187,252.000,97.000,23804.000,12061.000,14342.000,84.096,0.000,0.000,0.000,905.000,0.000,0.000,905.000,1392.000,65.014
NonScheduledDomestic,Air India,2017,08,98,135.000,58.000,11470.000,6767.000,8069.000,83.864,0.000,0.000,0.000,507.000,0.000,0.000,507.000,839.000,60.429
NonScheduledDomestic,Air India,2017,09,121,152.000,60.000,14811.000,7076.000,8294.000,85.315,0.000,0.000,0.000,531.000,0.000,0.000,531.000,850.000,62.471
NonScheduledDomestic,Air India,2017,10,132,163.000,66.000,15712.000,7610.000,9548.000,79.703,0.000,0.000,0.000,571.000,0.000,0.000,571.000,928.000,61.530
NonScheduledDomestic,Air India,2017,11,128,160.000,66.000,15875.000,7818.000,9791.000,79.849,0.000,0.000,0.000,592.000,0.000,0.000,592.000,941.000,62.912
NonScheduledDomestic,Air India,2017,12,127,160.000,65.000,16478.000,8425.000,9512.000,88.572,0.000,0.000,0.000,587.000,0.000,0.000,587.000,938.000,62.580
NonScheduledDomestic,Air India,2018,01,80,129.000,56.000,8701.000,6534.000,8130.000,80.369,0.000,0.000,0.000,490.000,0.000,0.000,490.000,789.000,62.104
NonScheduledDomestic,Air India,2018,02,146,209.000,96.000,15081.000,10656.000,13546.000,78.665,0.000,0.000,0.000,799.200,0.000,0.000,799.200,1398.700,57.139
NonScheduledDomestic,Air India,2018,03,286,392.200,224.000,25912.000,11619.900,22783.500,51.001,0.000,0.000,0.000,871.500,0.000,0.000,871.500,2263.600,38.501
NonScheduledDomestic,Air India,2018,04,283,389.000,219.300,27080.000,12388.600,23118.800,53.587,0.000,0.000,0.000,929.100,0.000,0.000,929.100,2260.900,41.094
NonScheduledDomestic,Air India,2018,05,292,413.200,234.400,28935.000,14084.700,24628.400,57.189,0.000,0.000,0.000,1056.400,0.000,0.000,1056.400,2409.400,43.845
NonScheduledDomestic,Air India,2018,06,281,392.700,220.900,27607.000,13226.700,23327.100,56.701,0.000,0.000,0.000,992.000,0.000,0.000,992.000,2284.700,43.419
NonScheduledDomestic,Air India,2018,07,280,376.200,211.500,26162.000,10893.300,20571.200,52.954,0.000,0.000,0.000,817.000,0.000,0.000,817.000,2045.100,39.949
NonScheduledDomestic,Air India,2018,08,283,386.630,219.110,26263.000,11335.480,21028.520,53.905,0.000,0.000,0.000,850.160,0.000,0.000,850.160,2087.540,40.725
NonScheduledDomestic,Air India,2018,09,273,373.883,212.172,25604.000,10747.250,19729.522,54.473,0.000,0.000,0.000,806.044,0.000,0.000,806.044,1984.110,40.625
NonScheduledDomestic,Air India,2018,10,301,415.000,242.528,29239.000,14272.622,24922.730,57.267,0.000,0.000,0.000,1070.447,0.000,0.000,1070.447,2443.324,43.811
NonScheduledDomestic,Air India,2018,11,283,397.667,221.794,29445.000,15360.000,23491.000,65.387,0.000,0.000,0.000,1152.000,0.000,0.000,1152.000,2292.000,50.262
NonScheduledDomestic,Air India,2018,12,307,440.000,249.000,32274.000,16709.000,26010.000,64.241,0.000,0.000,0.000,1253.000,0.000,0.000,1253.000,2544.000,49.253
NonScheduledDomestic,Alliance Air,2015,01,8,7.000,3.000,478.000,153.000,179.000,85.475,0.000,0.000,0.000,12.000,0.000,0.000,12.000,20.000,60.000
NonScheduledDomestic,Alliance Air,2015,02,8,6.000,3.000,526.000,168.000,179.000,93.855,0.000,0.000,0.000,13.000,0.000,0.000,13.000,20.000,65.000
NonScheduledDomestic,Alliance Air,2015,03,8,6.000,3.000,438.000,140.000,179.000,78.212,0.000,0.000,0.000,11.000,0.000,0.000,11.000,20.000,55.000
NonScheduledDomestic,Alliance Air,2015,04,10,8.000,3.000,637.000,204.000,224.000,91.071,0.000,0.000,0.000,15.000,0.000,0.000,15.000,26.000,57.692
NonScheduledDomestic,Alliance Air,2015,05,8,6.000,3.000,552.000,177.000,179.000,98.883,0.000,0.000,0.000,13.000,0.000,0.000,13.000,20.000,65.000
NonScheduledDomestic,Alliance Air,2015,06,4,3.000,1.000,260.000,83.000,90.000,92.222,0.000,0.000,0.000,6.000,0.000,0.000,6.000,10.000,60.000
NonScheduledDomestic,Alliance Air,2015,07,4,3.000,1.000,221.000,71.000,90.000,78.889,0.000,0.000,0.000,5.000,0.000,0.000,5.000,10.000,50.000
NonScheduledDomestic,Alliance Air,2015,08,8,7.000,3.000,498.000,159.000,179.000,88.827,0.000,0.000,0.000,12.000,0.000,0.000,12.000,20.000,60.000
NonScheduledDomestic,Alliance Air,2015,09,6,6.000,2.000,363.000,116.000,134.000,86.567,0.000,0.000,0.000,9.000,0.000,0.000,9.000,15.000,60.000
NonScheduledDomestic,Alliance Air,2015,10,2,2.000,1.000,126.000,40.000,45.000,88.889,0.000,0.000,0.000,3.000,0.000,0.000,3.000,5.000,60.000
NonScheduledDomestic,Alliance Air,2015,11,8,6.000,3.000,511.000,164.000,179.000,91.620,0.000,0.000,0.000,12.000,0.000,0.000,12.000,20.000,60.000
NonScheduledDomestic,Alliance Air,2015,12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2016,01,6,6.000,2.000,392.000,94.000,112.000,83.929,0.000,0.000,0.000,9.000,0.000,0.000,9.000,17.000,52.941
NonScheduledDomestic,Alliance Air,2016,02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2016,03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2016,04,8,7.000,3.000,534.000,166.000,180.000,92.222,0.000,0.000,0.000,12.000,0.000,0.000,12.000,20.000,60.000
NonScheduledDomestic,Alliance Air,2016,05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2016,06,8,6.000,3.000,554.000,168.000,179.000,93.855,0.000,0.000,0.000,11.000,0.000,0.000,11.000,20.000,55.000
NonScheduledDomestic,Alliance Air,2016,07,10,9.000,5.000,644.000,202.000,215.000,93.953,0.000,0.000,0.000,13.000,0.000,0.000,13.000,20.000,65.000
NonScheduledDomestic,Alliance Air,2016,08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2016,09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2016,10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2016,11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2016,12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,01,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Alliance Air,2017,12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2015,09,1,1.350,0.645,176.000,116.000,116.000,100.000,0.000,0.000,0.000,10.000,0.000,0.000,10.000,12.000,83.333
NonScheduledDomestic,Go First,2015,10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2015,11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2015,12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,01,6,16.000,9.852,880.000,1445.000,1734.000,83.333,0.000,0.000,0.000,130.000,0.000,0.000,130.000,182.000,71.429
NonScheduledDomestic,Go First,2016,02,11,29.200,18.062,1936.000,3179.000,3179.000,100.000,0.000,0.000,0.000,286.000,0.000,0.000,286.000,334.000,85.629
NonScheduledDomestic,Go First,2016,03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2016,12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,01,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,04,2,3.166,1.430,360.000,257.000,257.000,100.000,0.000,0.000,0.000,23.000,0.000,0.000,23.000,26.000,88.462
NonScheduledDomestic,Go First,2017,05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NonScheduledDomestic,Go First,2017,12,2,3.500,1.780,360.000,320.000,320.000,100.000,0.000,0.000,0.000,29.000,0.000,0.000,29.000,33.000,87.879
NonScheduledDomestic,Jet Airways,2015,01,24,42.000,20.000,2889.000,2669.000,3107.000,85.903,2.000,0.000,2.000,227.000,1.000,0.000,228.000,292.000,78.082
NonScheduledDomestic,Jet Airways,2015,02,30,64.000,25.000,2978.000,2722.000,3770.000,72.202,2.000,0.000,2.000,56.000,3.000,0.000,59.000,357.000,16.527
NonScheduledDomestic,Jet Airways,2015,03,33,66.000,26.000,3771.000,3061.000,3837.000,79.776,4.000,0.000,4.000,40.000,0.000,0.000,40.000,180.000,22.222
NonScheduledDomestic,Jet Airways,2015,04,23,32.000,15.000,2724.000,1752.000,2060.000,85.049,2.000,0.000,2.000,30.000,2.000,0.000,32.000,172.000,18.605
NonScheduledDomestic,Jet Airways,2015,05,45,63.000,296.000,4169.000,2779.000,3982.000,69.789,12.000,0.000,12.000,95.000,8.000,0.000,103.000,368.000,27.989
NonScheduledDomestic,Jet Airways,2015,06,48,18.000,31.000,4923.000,3182.000,4208.000,75.618,14.000,0.000,14.000,145.000,8.000,0.000,153.000,403.000,37.965
NonScheduledDomestic,Jet Airways,2015,07,44,43.000,28.000,5167.000,3166.000,3917.000,80.827,8.000,0.000,8.000,40.000,3.000,0.000,43.000,254.000,16.929
NonScheduledDomestic,Jet Airways,2015,08,38,46.000,23.000,5378.000,3224.000,3477.000,92.724,2.000,0.000,2.000,34.000,1.000,0.000,35.000,272.000,12.868
NonScheduledDomestic,Jet Airways,2015,09,36,45.000,21.000,5183.000,3067.000,3403.000,90.126,4.000,0.000,4.000,32.000,3.000,0.000,35.000,248.000,14.113
NonScheduledDomestic,Jet Airways,2015,10,42,55.000,28.000,6129.000,4158.000,4667.000,89.094,8.000,0.000,8.000,77.000,8.000,0.000,85.000,389.000,21.851
NonScheduledDomestic,Jet Airways,2015,11,46,58.000,30.000,6792.000,4442.000,5064.000,87.717,9.000,0.000,9.000,82.000,5.000,0.000,87.000,450.000,19.333
NonScheduledDomestic,Jet Airways,2015,12,67,100.000,52.000,10359.000,7988.000,8740.000,91.396,8.000,0.000,8.000,108.000,9.000,0.000,117.000,696.000,16.810
NonScheduledDomestic,Jet Airways,2016,01,50,65.000,28.000,6158.000,3607.000,4606.000,78.311,3.000,0.000,3.000,65.000,0.000,0.000,65.000,320.000,20.312
NonScheduledDomestic,Jet Airways,2016,02,59,74.000,39.000,6984.000,4813.000,6473.000,74.355,7.000,0.000,7.000,115.000,5.000,0.000,120.000,448.000,26.786
NonScheduledDomestic,Jet Airways,2016,03,71,92.000,11.000,7669.000,4878.000,6630.000,73.575,5.000,0.000,5.000,71.000,0.000,0.000,71.000,451.000,15.743
NonScheduledDomestic,Jet Airways,2016,04,41,57.000,26.000,6537.000,3790.000,4428.000,85.592,8.000,0.000,8.000,45.000,1.000,0.000,46.000,66.000,69.697
NonScheduledDomestic,Jet Airways,2016,05,43,63.000,31.000,6361.000,4580.000,5040.000,90.873,7.000,0.000,7.000,20.000,5.000,0.000,25.000,443.000,5.643
NonScheduledDomestic,Jet Airways,2016,06,40,50.000,23.000,6045.000,3524.000,3821.000,92.227,9.000,0.000,9.000,62.000,3.000,0.000,65.000,354.000,18.362
NonScheduledDomestic,Jet Airways,2016,07,34,40.000,20.000,4697.000,2743.000,3278.000,83.679,3.000,0.000,3.000,25.000,0.000,0.000,25.000,275.000,9.091
NonScheduledDomestic,Jet Airways,2016,08,40,47.000,22.000,5135.000,2917.000,3710.000,78.625,9.000,0.000,9.000,31.000,5.000,0.000,36.000,299.000,12.040
NonScheduledDomestic,Jet Airways,2016,09,46,55.000,25.000,5627.000,3225.000,4187.000,77.024,13.000,0.000,13.000,29.000,5.000,0.000,34.000,357.000,9.524
NonScheduledDomestic,Jet Airways,2016,10,68,71.000,37.000,6980.000,4122.000,5896.000,69.912,9.000,0.000,9.000,49.000,5.000,0.000,54.000,543.000,9.945
NonScheduledDomestic,Jet Airways,2016,11,66,100.000,46.000,8230.000,6044.000,7248.000,83.389,14.000,0.000,14.000,60.000,12.000,0.000,72.000,624.000,11.538
NonScheduledDomestic,Jet Airways,2016,12,77,104.000,46.000,10477.000,6282.000,7247.000,86.684,18.000,0.000,18.000,147.000,12.000,0.000,159.000,612.000,25.980
NonScheduledDomestic,Jet Airways,2017,01,67,98.000,42.000,8452.000,5442.000,6617.000,82.243,8.000,0.000,8.000,108.000,6.000,0.000,114.000,594.000,19.192
NonScheduledDomestic,Jet Airways,2017,02,76,100.000,43.000,8865.000,5153.000,6797.000,75.813,33.000,10.000,43.000,115.000,25.000,1.000,141.000,571.000,24.694
NonScheduledDomestic,Jet Airways,2017,03,73,98.000,42.000,8984.000,5244.000,6485.000,80.864,21.000,5.000,26.000,92.000,12.000,3.000,107.000,540.000,19.815
NonScheduledDomestic,Jet Airways,2017,04,74,97.000,44.000,9228.000,5604.000,6931.000,80.854,2.000,6.000,8.000,379.000,2.000,3.000,384.000,592.000,64.865
NonScheduledDomestic,Jet Airways,2017,05,73,93.000,42.000,9643.000,5686.000,6673.000,85.209,0.000,6.000,6.000,386.000,0.000,4.000,390.000,594.000,65.657
NonScheduledDomestic,Jet Airways,2017,06,60,80.000,35.000,8447.000,4906.000,5458.000,89.886,1.000,4.000,5.000,370.000,1.000,2.000,373.000,474.000,78.692
NonScheduledDomestic,Jet Airways,2017,07,62,77.000,35.000,8370.000,4809.000,5501.000,87.420,1.000,8.000,9.000,383.000,1.000,5.000,389.000,472.000,82.415
NonScheduledDomestic,Jet Airways,2017,08,118,166.000,79.000,15323.000,9929.000,12147.000,81.740,6.000,14.105,20.105,814.000,4.000,9.000,827.000,1157.000,71.478
NonScheduledDomestic,Jet Airways,2017,09,129,178.000,90.000,17297.000,11786.000,13953.000,84.469,10.000,19.000,29.000,998.000,14.000,13.000,1025.000,1342.000,76.379
NonScheduledDomestic,Jet Airways,2017,10,126,177.000,84.000,16402.000,10914.000,13133.000,83.104,4.000,17.000,21.000,663.000,4.000,9.000,676.000,913.000,74.042
NonScheduledDomestic,Jet Airways,2017,11,138,201.000,98.000,19102.000,13297.000,15374.000,86.490,30.000,30.418,60.418,1060.000,19.000,19.000,1098.000,1502.000,73.103
NonScheduledDomestic,Jet Airways,2017,12,139,236.000,98.000,18955.000,13217.000,15283.000,86.482,31.000,35.423,66.423,913.000,1.000,13.000,927.000,1103.000,84.044
NonScheduledDomestic,Jet Airways,2018,01,61,93.000,50.000,8047.000,6440.000,7683.000,83.821,16.000,12.000,28.000,631.000,1.000,3.000,635.000,711.000,89.311
NonScheduledDomestic,Jet Airways,2018,02,67,100.000,50.000,9004.000,6483.000,7818.000,82.924,7.900,13.000,20.900,579.900,5.000,5.000,589.900,792.200,74.464
NonScheduledDomestic,Jet Airways,2018,03,72,110.000,58.000,9612.000,7658.000,9082.000,84.321,14.900,11.038,25.938,652.800,10.200,5.700,668.700,869.100,76.942
NonScheduledDomestic,Jet Airways,2018,04,74,114.000,59.000,10056.000,7829.000,9253.000,84.610,17.300,5.705,23.005,753.100,12.000,5.000,770.100,1017.200,75.708
NonScheduledDomestic,Jet Airways,2018,05,62,87.000,48.000,8305.000,6149.000,7310.000,84.118,35.700,6.201,41.901,615.800,34.700,5.200,655.700,855.900,76.609
NonScheduledDomestic,Jet Airways,2018,06,67,98.000,52.000,8930.000,6699.000,8041.000,83.311,37.900,7.031,44.931,560.900,28.000,3.300,592.200,748.900,79.076
NonScheduledDomestic,Jet Airways,2018,07,78,116.000,59.000,10651.000,7846.000,9319.000,84.194,25.201,7.278,32.479,667.000,18.000,4.300,689.300,866.200,79.577
NonScheduledDomestic,Jet Airways,2018,08,67,102.000,56.000,8853.000,7198.000,8752.000,82.244,8.580,6.090,14.670,611.850,6.000,4.000,621.850,809.550,76.814
NonScheduledDomestic,Jet Airways,2018,09,67,105.000,57.000,8871.000,7362.000,8812.000,83.545,15.141,6.583,21.724,544.769,8.000,1.000,553.769,721.916,76.708
NonScheduledDomestic,Jet Airways,2018,10,76,114.000,58.000,9753.000,7362.000,9074.000,81.133,24.213,5.342,29.555,669.220,18.670,3.580,691.470,944.343,73.222
