Year,Month,City1,City2,PaxToCity2,PaxFromCity2,FreightToCity2,FreightFromCity2,MailToCity2,MailFromCity2
2023,11,AGARTALA,AHMEDABAD,423.00,303.00,5.14,0.31,0.00,0.00
2023,12,AGARTALA,AHMEDABAD,278.00,357.00,14.37,0.41,0.00,0.01
2024,01,AGARTALA,AHMEDABAD,359.00,147.00,9.04,1.16,0.00,0.03
2024,02,AGARTALA,AHMEDABAD,329.00,284.00,0.28,0.28,0.00,0.40
2024,03,AGARTALA,AHMEDABAD,297.00,244.00,0.08,0.10,0.00,0.00
2024,10,AGARTALA,AHMEDABAD,34.00,24.00,0.00,0.00,0.00,0.00
2024,11,AGARTALA,AHMEDABAD,172.00,155.00,0.10,0.07,0.00,0.00
2024,12,AGARTALA,AHMEDABAD,96.00,368.00,0.91,0.32,0.00,0.03
2025,03,AGARTALA,AHMEDABAD,108.00,167.00,0.23,0.62,0.00,0.00
2020,02,AGARTALA,AIZAWL,47.00,36.00,0.00,0.00,0.00,0.00
2020,03,AGARTALA,AIZAWL,1204.00,690.00,0.00,0.00,0.00,0.00
2021,03,AGARTALA,AIZAWL,13.00,10.00,0.00,0.00,0.00,0.00
2021,04,AGARTALA,AIZAWL,155.00,154.00,0.00,0.00,0.00,0.00
2021,11,AGARTALA,AIZAWL,308.00,464.00,0.00,0.00,0.00,0.00
2021,12,AGARTALA,AIZAWL,288.00,343.00,0.00,0.00,0.00,0.00
2022,01,AGARTALA,AIZAWL,203.00,199.00,0.00,0.00,0.00,0.00
2022,02,AGARTALA,AIZAWL,193.00,201.00,0.00,0.00,0.00,0.00
2022,03,AGARTALA,AIZAWL,393.00,385.00,0.00,0.00,0.00,0.00
2022,04,AGARTALA,AIZAWL,402.00,299.00,0.00,0.00,0.00,0.00
2022,05,AGARTALA,AIZAWL,580.00,435.00,0.03,0.00,0.00,0.00
2022,06,AGARTALA,AIZAWL,525.00,528.00,0.06,0.00,0.00,0.00
2022,07,AGARTALA,AIZAWL,467.00,358.00,0.00,0.00,0.00,0.00
2022,08,AGARTALA,AIZAWL,423.00,338.00,0.00,0.00,0.00,0.00
2022,09,AGARTALA,AIZAWL,514.00,489.00,0.00,0.00,0.00,0.00
2022,10,AGARTALA,AIZAWL,617.00,596.00,0.00,0.00,0.00,0.00
2022,11,AGARTALA,AIZAWL,714.00,735.00,0.00,0.00,0.00,0.00
2022,12,AGARTALA,AIZAWL,749.00,681.00,0.00,0.03,0.00,0.00
2023,01,AGARTALA,AIZAWL,506.00,579.00,0.00,0.01,0.00,0.00
2023,02,AGARTALA,AIZAWL,531.00,406.00,0.00,0.08,0.00,0.00
2023,03,AGARTALA,AIZAWL,921.00,716.00,0.00,0.00,0.00,0.00
2023,04,AGARTALA,AIZAWL,763.00,544.00,0.00,0.00,0.00,0.00
2023,05,AGARTALA,AIZAWL,998.00,832.00,0.00,0.00,0.00,0.00
2024,07,AGARTALA,AIZAWL,176.00,0.00,0.00,0.00,0.00,0.00
2019,05,AGARTALA,BAGDOGRA,10.00,0.00,0.00,0.00,0.00,0.00
2019,07,AGARTALA,BAGDOGRA,0.00,9.00,0.00,0.00,0.00,0.00
2019,08,AGARTALA,BAGDOGRA,0.00,186.00,0.00,0.00,0.00,0.00
2019,09,AGARTALA,BAGDOGRA,0.00,167.00,0.00,0.57,0.00,0.00
2019,10,AGARTALA,BAGDOGRA,0.00,141.00,0.00,1.85,0.00,0.00
2019,05,AGARTALA,BENGALURU,4774.00,4129.00,0.02,0.76,0.00,0.94
2019,06,AGARTALA,BENGALURU,2945.00,2710.00,0.06,1.89,0.00,0.54
2019,07,AGARTALA,BENGALURU,3205.00,3313.00,0.00,0.94,0.00,0.98
2019,08,AGARTALA,BENGALURU,3710.00,3754.00,0.34,1.39,0.00,0.78
2019,09,AGARTALA,BENGALURU,2241.00,4120.00,0.77,2.64,0.00,1.03
2019,10,AGARTALA,BENGALURU,3948.00,4003.00,0.95,1.37,0.00,1.31
2019,11,AGARTALA,BENGALURU,3690.00,2854.00,1.41,2.68,0.00,1.05
2019,12,AGARTALA,BENGALURU,4527.00,4435.00,0.51,0.85,0.00,1.02
2020,01,AGARTALA,BENGALURU,4294.00,4607.00,0.02,4.25,0.00,0.86
2020,02,AGARTALA,BENGALURU,3517.00,3554.00,0.42,3.39,0.00,0.56
2020,03,AGARTALA,BENGALURU,1972.00,3547.00,0.01,3.60,0.00,0.00
2020,06,AGARTALA,BENGALURU,401.00,390.00,0.18,0.70,0.00,0.51
2020,07,AGARTALA,BENGALURU,532.00,1512.00,0.01,1.61,0.00,1.86
2020,08,AGARTALA,BENGALURU,724.00,1502.00,0.16,1.67,0.00,1.30
2020,09,AGARTALA,BENGALURU,2372.00,1782.00,0.11,0.75,0.00,1.34
2020,10,AGARTALA,BENGALURU,4163.00,2780.00,0.37,1.79,0.00,1.22
2020,11,AGARTALA,BENGALURU,5096.00,2831.00,0.19,1.19,0.00,1.11
2020,12,AGARTALA,BENGALURU,4214.00,3504.00,0.14,1.21,0.00,1.19
2021,01,AGARTALA,BENGALURU,3549.00,2226.00,0.10,3.23,0.00,1.07
2021,02,AGARTALA,BENGALURU,3483.00,2173.00,1.35,3.46,0.00,0.79
2021,03,AGARTALA,BENGALURU,2703.00,2267.00,0.15,5.93,0.00,0.82
2021,04,AGARTALA,BENGALURU,2039.00,4803.00,0.06,10.35,0.00,0.62
2021,06,AGARTALA,BENGALURU,83.00,83.00,1.59,0.43,0.00,0.11
2021,07,AGARTALA,BENGALURU,576.00,237.00,0.00,2.62,0.00,0.04
2021,08,AGARTALA,BENGALURU,1017.00,660.00,0.05,1.95,0.00,0.27
2021,09,AGARTALA,BENGALURU,1609.00,1315.00,0.00,4.60,0.00,0.31
2021,10,AGARTALA,BENGALURU,1835.00,1856.00,0.62,2.74,0.00,0.63
2021,11,AGARTALA,BENGALURU,3100.00,2666.00,0.03,5.58,0.00,0.84
2021,12,AGARTALA,BENGALURU,3665.00,2799.00,2.78,2.20,0.00,0.87
2022,01,AGARTALA,BENGALURU,1145.00,2193.00,1.06,5.76,0.00,0.74
2022,02,AGARTALA,BENGALURU,1528.00,1499.00,0.20,3.33,0.00,0.83
2022,03,AGARTALA,BENGALURU,2930.00,2996.00,0.03,5.16,0.00,0.70
2022,04,AGARTALA,BENGALURU,3859.00,3443.00,2.32,6.69,0.00,0.85
2022,05,AGARTALA,BENGALURU,4516.00,3540.00,11.79,6.44,0.00,0.79
2022,06,AGARTALA,BENGALURU,4553.00,4107.00,53.98,9.39,0.00,0.96
2022,07,AGARTALA,BENGALURU,4542.00,4463.00,84.91,11.00,0.00,0.94
2022,08,AGARTALA,BENGALURU,4867.00,4643.00,78.55,5.58,0.00,0.74
2022,09,AGARTALA,BENGALURU,4249.00,5228.00,34.38,9.68,0.00,1.01
2022,10,AGARTALA,BENGALURU,5282.00,4650.00,17.49,6.25,0.00,0.71
2022,11,AGARTALA,BENGALURU,3165.00,2716.00,71.34,6.72,0.00,0.61
2022,12,AGARTALA,BENGALURU,3559.00,2567.00,11.91,3.83,0.00,0.64
2023,01,AGARTALA,BENGALURU,4040.00,3850.00,0.00,11.19,0.00,0.48
2023,02,AGARTALA,BENGALURU,2794.00,2270.00,0.00,9.76,0.00,0.14
2023,03,AGARTALA,BENGALURU,4750.00,3516.00,0.01,2.05,0.00,0.19
2023,04,AGARTALA,BENGALURU,6157.00,5065.00,1.12,3.31,0.00,0.65
2023,05,AGARTALA,BENGALURU,5663.00,5562.00,1.83,10.25,0.00,0.44
2023,06,AGARTALA,BENGALURU,5417.00,5645.00,42.18,15.29,0.00,0.57
2023,07,AGARTALA,BENGALURU,3319.00,3091.00,51.64,13.33,0.00,0.49
2023,08,AGARTALA,BENGALURU,4580.00,4069.00,66.14,7.09,0.00,0.58
2023,09,AGARTALA,BENGALURU,4755.00,4067.00,33.16,10.24,0.00,0.75
2023,10,AGARTALA,BENGALURU,4726.00,5848.00,29.06,10.78,0.00,0.98
2023,11,AGARTALA,BENGALURU,5281.00,4958.00,48.34,4.30,0.00,1.07
2023,12,AGARTALA,BENGALURU,6134.00,4891.00,87.39,6.34,0.00,0.77
2024,01,AGARTALA,BENGALURU,4757.00,5866.00,53.99,19.54,0.00,0.91
2024,02,AGARTALA,BENGALURU,3919.00,3978.00,36.29,28.19,0.00,0.80
2024,03,AGARTALA,BENGALURU,5131.00,4971.00,24.76,26.14,0.00,0.52
2024,04,AGARTALA,BENGALURU,3854.00,4099.00,9.06,16.85,0.00,0.43
2024,06,AGARTALA,BENGALURU,5413.00,5022.00,8.43,32.22,0.00,0.55
2024,07,AGARTALA,BENGALURU,6067.00,4734.00,5.82,24.85,0.00,0.70
2024,08,AGARTALA,BENGALURU,4779.00,4193.00,0.73,5.60,0.00,0.71
2024,09,AGARTALA,BENGALURU,3692.00,4454.00,1.07,12.81,0.00,0.76
2024,10,AGARTALA,BENGALURU,4671.00,5171.00,6.82,9.81,0.00,0.68
2024,11,AGARTALA,BENGALURU,4217.00,4292.00,39.54,4.11,0.00,0.86
2024,12,AGARTALA,BENGALURU,4029.00,4297.00,23.75,6.26,0.00,0.70
2025,01,AGARTALA,BENGALURU,3847.00,4392.00,25.14,4.99,0.00,0.83
2025,02,AGARTALA,BENGALURU,3570.00,3599.00,3.48,5.60,0.00,0.23
2025,03,AGARTALA,BENGALURU,3903.00,3978.00,0.95,7.39,0.00,0.11
2022,05,AGARTALA,BHUBANESWAR,18.00,0.00,0.00,0.00,0.00,0.00
2022,06,AGARTALA,BHUBANESWAR,0.00,90.00,0.00,0.00,0.00,0.00
2015,10,AGARTALA,CHENNAI,304.00,303.00,,,,
2015,11,AGARTALA,CHENNAI,728.00,594.00,,,,
2015,12,AGARTALA,CHENNAI,689.00,567.00,,,,
2016,01,AGARTALA,CHENNAI,1142.00,854.00,,,,
2016,02,AGARTALA,CHENNAI,849.00,1124.00,,,,
2016,03,AGARTALA,CHENNAI,774.00,193.00,,,,
2016,04,AGARTALA,CHENNAI,521.00,974.00,,,,
2016,05,AGARTALA,CHENNAI,1017.00,1347.00,,,,
2016,06,AGARTALA,CHENNAI,1149.00,1191.00,,,,
2016,07,AGARTALA,CHENNAI,508.00,486.00,,,,
2016,08,AGARTALA,CHENNAI,397.00,548.00,,,,
2016,09,AGARTALA,CHENNAI,360.00,441.00,,,,
2016,10,AGARTALA,CHENNAI,384.00,809.00,,,,
2016,11,AGARTALA,CHENNAI,723.00,1215.00,,,,
2016,12,AGARTALA,CHENNAI,967.00,996.00,,,,
2017,01,AGARTALA,CHENNAI,664.00,1234.00,,,,
2017,02,AGARTALA,CHENNAI,1021.00,1289.00,,,,
2017,03,AGARTALA,CHENNAI,871.00,998.00,,,,
2017,04,AGARTALA,CHENNAI,746.00,694.00,,,,
2017,05,AGARTALA,CHENNAI,885.00,766.00,,,,
2017,06,AGARTALA,CHENNAI,1018.00,802.00,,,,
2017,07,AGARTALA,CHENNAI,1185.00,1073.00,,,,
2017,08,AGARTALA,CHENNAI,1037.00,1120.00,,,,
2017,09,AGARTALA,CHENNAI,1222.00,1038.00,,,,
2017,10,AGARTALA,CHENNAI,1260.00,1068.00,,,,
2017,11,AGARTALA,CHENNAI,2095.00,1704.00,,,,
2017,12,AGARTALA,CHENNAI,2044.00,1839.00,,,,
2018,01,AGARTALA,CHENNAI,2934.00,2819.00,,,,
2018,02,AGARTALA,CHENNAI,3316.00,4470.00,,,,
2018,03,AGARTALA,CHENNAI,4160.00,4033.00,0.07,1.40,0.00,0.32
2018,04,AGARTALA,CHENNAI,4578.00,2643.00,0.00,0.49,0.00,0.21
2018,05,AGARTALA,CHENNAI,4971.00,2452.00,1.22,0.13,0.00,0.29
2018,06,AGARTALA,CHENNAI,4873.00,2202.00,0.02,0.41,0.00,0.21
2018,07,AGARTALA,CHENNAI,4189.00,2004.00,0.00,0.17,0.00,0.36
2018,08,AGARTALA,CHENNAI,3631.00,1657.00,0.00,0.24,0.00,0.53
2018,09,AGARTALA,CHENNAI,2826.00,1769.00,0.00,0.05,0.00,0.53
2018,10,AGARTALA,CHENNAI,4064.00,1791.00,0.00,1.06,0.00,0.39
2018,11,AGARTALA,CHENNAI,1586.00,1343.00,0.00,0.35,0.00,0.33
2018,12,AGARTALA,CHENNAI,1536.00,1695.00,0.02,1.25,0.00,0.36
2019,01,AGARTALA,CHENNAI,1363.00,1637.00,0.12,0.18,0.00,0.27
2019,02,AGARTALA,CHENNAI,878.00,1590.00,1.37,0.94,0.00,0.29
2019,03,AGARTALA,CHENNAI,1392.00,1733.00,0.00,0.29,0.00,0.17
2019,04,AGARTALA,CHENNAI,1932.00,1974.00,0.10,0.08,0.00,0.21
2019,05,AGARTALA,CHENNAI,2057.00,2095.00,0.08,0.21,0.00,0.05
2019,06,AGARTALA,CHENNAI,2125.00,2002.00,0.01,0.06,0.00,0.13
2019,07,AGARTALA,CHENNAI,2266.00,1555.00,0.00,0.00,0.00,0.00
2019,08,AGARTALA,CHENNAI,3401.00,2668.00,0.00,0.08,0.00,0.33
2019,09,AGARTALA,CHENNAI,1895.00,1742.00,0.01,0.53,0.00,0.22
2019,10,AGARTALA,CHENNAI,2318.00,1402.00,0.00,0.00,0.00,0.27
2019,11,AGARTALA,CHENNAI,2280.00,1327.00,0.00,0.28,0.00,0.50
2019,12,AGARTALA,CHENNAI,3382.00,1729.00,0.02,0.29,0.00,0.41
2020,01,AGARTALA,CHENNAI,2320.00,1373.00,0.10,0.77,0.00,0.48
2020,02,AGARTALA,CHENNAI,1895.00,1191.00,0.00,0.33,0.00,0.84
2020,03,AGARTALA,CHENNAI,1244.00,1121.00,0.00,0.23,0.00,0.00
2020,08,AGARTALA,CHENNAI,32.00,35.00,0.00,0.00,0.00,0.00
2020,09,AGARTALA,CHENNAI,333.00,265.00,0.00,1.33,0.00,0.00
2020,10,AGARTALA,CHENNAI,390.00,359.00,0.04,0.12,0.00,0.00
2020,11,AGARTALA,CHENNAI,681.00,787.00,0.01,2.29,0.00,0.00
2020,12,AGARTALA,CHENNAI,961.00,1138.00,0.10,1.56,0.00,0.00
2021,01,AGARTALA,CHENNAI,858.00,785.00,0.10,1.42,0.00,0.00
2021,02,AGARTALA,CHENNAI,885.00,1096.00,0.01,1.84,0.00,0.00
2021,03,AGARTALA,CHENNAI,469.00,543.00,0.01,0.94,0.00,0.00
2021,04,AGARTALA,CHENNAI,1286.00,2577.00,1.03,0.56,0.00,0.05
2021,07,AGARTALA,CHENNAI,197.00,0.00,0.00,0.00,0.00,0.00
2022,02,AGARTALA,CHENNAI,0.00,312.00,0.00,0.45,0.00,0.00
2022,03,AGARTALA,CHENNAI,0.00,93.00,0.00,0.00,0.00,0.00
2022,05,AGARTALA,CHENNAI,959.00,906.00,0.00,0.00,0.00,0.00
2022,06,AGARTALA,CHENNAI,2004.00,2039.00,0.00,0.29,0.00,0.00
2022,07,AGARTALA,CHENNAI,2127.00,1798.00,0.00,0.24,0.00,0.00
2022,08,AGARTALA,CHENNAI,2190.00,1815.00,0.00,0.48,0.00,0.00
2022,09,AGARTALA,CHENNAI,430.00,209.00,0.00,0.00,0.00,0.00
2022,10,AGARTALA,CHENNAI,2036.00,987.00,0.00,0.37,0.00,0.00
2022,11,AGARTALA,CHENNAI,1931.00,1026.00,0.00,0.37,0.00,0.00
2022,12,AGARTALA,CHENNAI,1090.00,643.00,0.00,0.11,0.00,0.00
2023,01,AGARTALA,CHENNAI,124.00,421.00,0.00,0.14,0.00,0.00
2023,02,AGARTALA,CHENNAI,746.00,371.00,0.00,0.00,0.00,0.00
2023,03,AGARTALA,CHENNAI,1509.00,721.00,0.00,0.00,0.00,0.00
2023,04,AGARTALA,CHENNAI,1804.00,441.00,0.00,0.01,0.00,0.00
2023,05,AGARTALA,CHENNAI,1076.00,410.00,0.00,0.52,0.00,0.00
2023,06,AGARTALA,CHENNAI,1369.00,690.00,0.02,0.04,0.00,0.00
2023,07,AGARTALA,CHENNAI,1557.00,444.00,0.00,1.60,0.00,0.00
2023,08,AGARTALA,CHENNAI,1197.00,281.00,0.00,0.00,0.00,0.00
2023,09,AGARTALA,CHENNAI,838.00,347.00,0.00,0.71,0.00,0.00
2023,10,AGARTALA,CHENNAI,834.00,642.00,0.00,0.78,0.00,0.00
2024,06,AGARTALA,CHENNAI,931.00,501.00,30.25,5.75,0.00,0.00
2024,07,AGARTALA,CHENNAI,461.00,176.00,1.80,5.75,0.00,0.00
2024,08,AGARTALA,CHENNAI,710.00,387.00,0.82,1.02,0.00,0.00
2024,09,AGARTALA,CHENNAI,464.00,232.00,0.89,2.41,0.00,0.00
2024,10,AGARTALA,CHENNAI,461.00,284.00,1.02,5.17,0.00,0.00
2024,11,AGARTALA,CHENNAI,1177.00,732.00,0.04,4.22,0.00,0.00
2024,12,AGARTALA,CHENNAI,1032.00,508.00,0.06,0.87,0.00,0.02
2025,03,AGARTALA,CHENNAI,1085.00,523.00,0.00,8.63,0.00,0.00
2019,05,AGARTALA,COIMBATORE,0.00,10.00,0.00,0.01,0.00,0.00
2019,06,AGARTALA,COIMBATORE,0.00,17.00,0.00,0.06,0.00,0.00
2019,07,AGARTALA,COIMBATORE,0.00,18.00,0.00,0.00,0.00,0.00
2019,08,AGARTALA,COIMBATORE,0.00,13.00,0.00,0.02,0.00,0.00
2019,09,AGARTALA,COIMBATORE,0.00,56.00,0.00,0.23,0.00,0.00
2019,10,AGARTALA,COIMBATORE,0.00,18.00,0.00,0.00,0.00,0.00
2019,11,AGARTALA,COIMBATORE,0.00,3.00,0.00,0.08,0.00,0.00
2019,12,AGARTALA,COIMBATORE,0.00,2.00,0.00,0.08,0.00,0.00
2020,01,AGARTALA,COIMBATORE,0.00,5.00,0.00,0.00,0.00,0.00
2020,02,AGARTALA,COIMBATORE,10.00,6.00,0.00,0.07,0.00,0.00
2020,03,AGARTALA,COIMBATORE,13.00,3.00,0.00,0.13,0.00,0.00
2021,04,AGARTALA,DABOLIM,0.00,6.00,0.00,0.00,0.00,0.00
2019,05,AGARTALA,DELHI,2930.00,3022.00,0.05,6.99,0.13,3.86
2019,06,AGARTALA,DELHI,2669.00,2652.00,0.15,7.83,0.03,4.59
2019,07,AGARTALA,DELHI,2021.00,1214.00,0.00,11.30,0.00,4.18
2019,08,AGARTALA,DELHI,4657.00,3835.00,0.26,13.31,0.22,3.04
2019,09,AGARTALA,DELHI,5023.00,6087.00,0.23,32.57,0.73,3.26
2019,10,AGARTALA,DELHI,6933.00,6178.00,0.24,14.71,0.67,4.74
2019,11,AGARTALA,DELHI,5480.00,5399.00,0.25,13.67,0.51,3.65
2019,12,AGARTALA,DELHI,6080.00,6922.00,0.10,13.66,0.53,4.53
2020,01,AGARTALA,DELHI,5467.00,5823.00,1.59,19.37,1.00,6.68
2020,02,AGARTALA,DELHI,6246.00,5365.00,0.57,18.93,0.66,4.78
2020,03,AGARTALA,DELHI,4230.00,5448.00,0.78,16.21,0.00,0.00
2020,06,AGARTALA,DELHI,150.00,261.00,0.55,1.64,0.00,0.00
2020,07,AGARTALA,DELHI,2726.00,3876.00,5.82,25.01,0.00,15.30
2020,08,AGARTALA,DELHI,3845.00,3354.00,4.75,23.10,0.91,3.00
2020,09,AGARTALA,DELHI,3738.00,3337.00,2.38,19.61,1.64,2.29
2020,10,AGARTALA,DELHI,3212.00,3309.00,3.37,28.54,2.06,4.29
2020,11,AGARTALA,DELHI,4761.00,4388.00,1.19,16.71,1.79,3.45
2020,12,AGARTALA,DELHI,3916.00,4923.00,3.43,22.41,1.75,3.58
2021,01,AGARTALA,DELHI,4695.00,4679.00,1.69,17.50,1.27,3.22
2021,02,AGARTALA,DELHI,6755.00,5800.00,2.22,21.46,1.00,2.84
2021,03,AGARTALA,DELHI,7524.00,7265.00,0.67,22.61,0.93,2.10
2021,04,AGARTALA,DELHI,5817.00,7778.00,1.05,19.45,1.39,1.99
2021,06,AGARTALA,DELHI,2388.00,2789.00,1.80,14.28,0.00,0.00
2021,07,AGARTALA,DELHI,3733.00,3418.00,3.99,13.66,0.01,0.02
2021,08,AGARTALA,DELHI,4083.00,3545.00,0.72,16.70,0.34,0.00
2021,09,AGARTALA,DELHI,4003.00,4336.00,1.35,14.43,0.54,0.07
