Year,Quarter,Airline,PaxToIndiaM1,PaxFromIndiaM1,FreightToIndiaM1,FreightFromIndiaM1,PaxToIndiaM2,PaxFromIndiaM2,FreightToIndiaM2,FreightFromIndiaM2,PaxToIndiaM3,PaxFromIndiaM3,FreightToIndiaM3,FreightFromIndiaM3
23,3,AEROFLOT,5035,7528,19.69,207.83,4785,6715,40.25,157.47,5348,8018,65.24,170.56
23,4,AEROFLOT,12393,10712,21.13,178.84,14050,13247,40.31,414.31,13762,11997,55.18,515.79
24,1,AEROFLOT,13491,14219,16.52,406.04,12770,12561,41.95,477.51,12348,14873,28.52,568.55
24,2,AEROFLOT,10018,11339,78.80,603.36,5984,9860,48.87,311.54,4801,4534,34.65,70.03
15,1,AEROLOGIC,0,0,1.41,1.24,0,0,2.04,1.49,0,0,1.86,1.98
15,2,AEROLOGIC,0,0,1.42,1.19,0,0,1.79,1.82,0,0,0.00,0.00
15,3,AEROLOGIC,0,0,2.01,1.81,0,0,1.99,2.03,0,0,1.54,1.37
15,4,AEROLOGIC,0,0,1.92,1.53,0,0,1.64,1.42,0,0,1.98,1.57
16,1,AEROLOGIC,0,0,3.06,3.79,0,0,3.10,3.45,0,0,3.73,3.57
16,2,AEROLOGIC,0,0,3.49,2.71,0,0,4.01,3.83,0,0,3.36,3.43
16,3,AEROLOGIC,0,0,3.27,480.75,0,0,3.27,3.79,0,0,3.36,4.26
16,4,AEROLOGIC,0,0,3.88,3.74,0,0,3.46,3.16,0,0,3.53,3.55
17,1,AEROLOGIC,0,0,3.31,3.78,0,0,3.24,4.12,0,0,3.69,3.89
17,2,AEROLOGIC,0,0,3.46,3.40,0,0,3.65,3.53,0,0,3.64,3.42
17,3,AEROLOGIC,0,0,3.76,3.63,0,0,3.58,3.89,0,0,3.79,3.60
17,4,AEROLOGIC,0,0,3.64,3.79,0,0,3.28,246.06,0,0,3.55,3.34
18,1,AEROLOGIC,0,0,3.30,3.24,0,0,3.12,3.52,0,0,3.73,3.84
18,2,AEROLOGIC,0,0,3.08,3.36,0,0,3.35,3.51,0,0,3.54,3.48
18,3,AEROLOGIC,0,0,1277.87,1284.57,0,0,1276.73,1207.74,0,0,1377.82,1358.83
18,4,AEROLOGIC,0,0,1005.17,1191.11,0,0,1167.60,1129.11,0,0,3386.68,3177.69
19,1,AEROLOGIC,0,0,3248.63,3373.27,0,0,2965.81,3653.35,0,0,3737.37,3680.91
19,2,AEROLOGIC,0,0,3462.84,3410.25,0,0,1580.10,1546.32,0,0,1956.35,1580.24
19,4,AEROLOGIC,0,0,1724.91,1751.26,0,0,1421.05,1359.36,0,0,11070.77,1282.52
20,1,AEROLOGIC,0,0,2884.90,3939.70,0,0,3978.79,4627.71,0,0,810.23,4422.91
20,2,AEROLOGIC,0,0,886.95,612.48,0,0,3338.79,3057.07,0,0,6491.63,6733.59
20,3,AEROLOGIC,0,0,6852.76,7458.25,0,0,7097.20,7320.27,0,0,7344.98,7427.36
20,4,AEROLOGIC,0,0,7687.41,8167.69,0,0,6832.45,7173.38,0,0,7624.19,7728.11
21,1,AEROLOGIC,0,0,8552.15,8639.20,0,0,8029.82,8578.99,0,0,8868.92,8995.88
21,2,AEROLOGIC,0,0,7243.23,7587.56,0,0,7223.14,7238.16,0,0,7099.84,7363.78
21,3,AEROLOGIC,0,0,6937.10,7629.52,0,0,7154.34,7982.55,0,0,7443.23,7657.18
21,4,AEROLOGIC,0,0,7378.77,7457.41,0,0,7180.54,7327.68,0,0,7577.26,7170.17
22,1,AEROLOGIC,0,0,8095.29,8097.36,0,0,7436.96,8182.68,0,0,8748.35,9016.96
22,2,AEROLOGIC,0,0,10293.20,10455.06,0,0,10018.34,9588.17,0,0,9615.58,8763.56
22,3,AEROLOGIC,0,0,9310.64,8310.75,0,0,9245.91,8234.68,0,0,8948.60,8185.65
22,4,AEROLOGIC,0,0,9136.26,8669.37,0,0,9385.94,8193.55,0,0,9318.04,7950.67
23,1,AEROLOGIC,0,0,7943.69,7704.76,0,0,8352.69,8055.79,0,0,7199.05,6806.14
23,2,AEROLOGIC,0,0,10293.20,10230.06,0,0,5672.31,6202.10,0,0,4282.69,5947.71
23,3,AEROLOGIC,0,0,5606.99,6028.19,0,0,5431.54,6414.55,0,0,5320.10,6458.35
23,4,AEROLOGIC,0,0,5373.80,6526.95,0,0,5230.89,6211.87,0,0,5940.71,6173.29
24,1,AEROLOGIC,0,0,5704.88,6683.07,0,0,5750.07,6103.39,0,0,5951.72,6604.42
24,2,AEROLOGIC,0,0,5755.12,6982.07,0,0,5952.91,7324.38,0,0,6136.15,6741.00
15,1,AIR ARABIA,77405,79096,191.55,1096.20,63893,72042,135.10,1011.02,69840,77409,163.09,1132.89
15,2,AIR ARABIA,68884,77477,177.41,1177.04,75183,80255,131.84,1191.69,75902,69726,109.92,1126.57
15,3,AIR ARABIA,80227,64608,47.11,1182.84,64930,80236,108.83,1145.17,65482,75272,44.48,1039.94
15,4,AIR ARABIA,72642,75434,75.30,1072.24,74255,74462,78.08,1035.03,79183,78570,86.30,1075.24
16,1,AIR ARABIA,80828,83524,89.78,1069.04,70573,73935,75.39,1078.66,76750,78529,122.83,1207.00
16,2,AIR ARABIA,71379,77643,121.20,1149.56,75623,80301,130.63,1131.31,75529,64936,69.84,1140.85
16,3,AIR ARABIA,79358,68404,107.63,1101.15,68236,77290,111.11,1056.19,66011,76560,95.63,952.97
16,4,AIR ARABIA,73159,74447,96.10,1042.32,74618,72941,121.08,975.00,78641,74638,104.34,985.23
17,1,AIR ARABIA,73448,78737,137.04,983.43,62153,69662,100.10,1033.33,70796,75260,165.12,1190.34
17,2,AIR ARABIA,72157,77519,164.97,1162.13,78527,78511,135.41,1151.22,75490,59368,184.88,1145.93
17,3,AIR ARABIA,78892,70090,95.08,1195.39,72411,77710,99.79,1199.00,59274,77429,103.62,1116.34
17,4,AIR ARABIA,73096,74832,119.91,1238.23,73623,73258,234.87,1080.03,80224,77257,158.29,1139.60
18,1,AIR ARABIA,74861,79665,233.67,984.91,72369,130975,239.62,1017.84,74374,76043,235.56,1260.35
18,2,AIR ARABIA,72470,77713,203.98,1189.80,75195,77369,139.94,1204.11,77536,64477,148.90,892.60
18,3,AIR ARABIA,78596,71308,118.67,1156.42,70297,76507,120.00,1191.26,60793,77900,131.88,1159.69
18,4,AIR ARABIA,74574,75259,172.63,1288.53,75918,72047,130.53,1257.89,80165,72906,122.49,1318.51
19,1,AIR ARABIA,77468,79528,110.02,1230.61,68016,71903,155.27,1185.02,77855,80333,152.09,1309.78
19,2,AIR ARABIA,76677,77878,145.57,1258.69,79613,77780,141.58,1261.24,77883,71352,73.85,1170.09
19,3,AIR ARABIA,80121,70400,79.10,1325.66,73863,78656,67.88,1145.80,65764,76909,172.92,1060.94
19,4,AIR ARABIA,75445,73629,107.61,1293.73,75918,72047,130.53,1257.89,77695,73553,114.69,1191.73
20,1,AIR ARABIA,76243,77523,128.88,1212.12,67836,70967,184.53,1097.00,39672,33894,122.39,1143.93
20,2,AIR ARABIA,0,123,0.00,0.00,0,0,0.00,0.00,23830,0,23.34,171.41
20,3,AIR ARABIA,18341,2835,14.04,241.79,15911,6604,27.82,293.78,15748,18544,19.51,337.50
20,4,AIR ARABIA,26970,27682,26.70,396.71,38261,35643,38.73,495.49,40839,48061,82.56,573.68
21,1,AIR ARABIA,48742,60600,84.32,814.94,56610,56348,146.70,960.84,68971,64076,133.51,1040.86
21,2,AIR ARABIA,67060,65619,143.92,1185.78,25853,2259,57.83,998.00,21198,7,71.39,1029.68
21,3,AIR ARABIA,25650,530,50.27,1204.87,30640,64541,125.07,1440.98,42441,95711,397.10,1217.07
21,4,AIR ARABIA,89188,129625,150.57,1864.17,117735,125379,176.70,1520.77,133239,154281,112.21,1522.88
22,1,AIR ARABIA,76078,124723,99.33,1630.43,77724,91153,200.53,1220.36,124864,130389,144.02,1682.00
22,2,AIR ARABIA,77877,74689,100.67,1113.31,81128,82022,82.28,993.94,82370,73488,88.12,1015.23
22,3,AIR ARABIA,78862,65715,151.73,1003.95,71212,76151,57.41,993.18,66014,72993,81.04,993.54
22,4,AIR ARABIA,76800,75048,85.32,1081.08,75790,70089,211.11,857.52,77966,76458,93.90,972.76
23,1,AIR ARABIA,77374,78636,332.26,640.21,67217,71095,40.60,872.39,70987,78410,111.76,1003.08
23,2,AIR ARABIA,68133,72676,105.57,1003.99,70674,77473,79.36,1015.86,76253,59494,74.97,1033.35
23,3,AIR ARABIA,77371,73370,57.61,948.56,64701,77765,63.64,901.32,64074,76395,60.37,2200.78
23,4,AIR ARABIA,75730,74833,159.41,913.10,75677,70775,63.78,974.27,80145,78158,63.83,953.91
24,1,AIR ARABIA,76849,80828,53.42,1071.86,69854,75571,57.97,1015.87,73483,76496,147.34,1120.43
24,2,AIR ARABIA,69550,74607,101.06,983.44,78523,82204,50.06,1170.43,79907,68180,36.60,1176.75
21,4,AIR ARABIA-ABU DHABI,0,0,0.00,0.00,6787,6644,0.00,0.00,9190,12067,0.00,0.00
22,1,AIR ARABIA-ABU DHABI,6592,12833,0.00,0.00,6277,9566,0.00,0.00,11412,12204,0.00,0.00
22,2,AIR ARABIA-ABU DHABI,10170,10260,0.00,0.00,15866,18149,26.08,116.03,21718,17861,6.36,169.74
22,3,AIR ARABIA-ABU DHABI,28449,20874,6.36,169.74,23125,32645,21.00,272.89,15478,26956,20.91,291.60
22,4,AIR ARABIA-ABU DHABI,22781,28911,57.01,288.51,26977,25180,23.79,198.82,29780,29548,11.23,223.55
23,1,AIR ARABIA-ABU DHABI,33538,35095,6.95,209.58,22796,31228,3.56,194.69,23990,31481,35.73,203.62
23,2,AIR ARABIA-ABU DHABI,24676,30717,10.02,311.42,39287,42667,10.72,420.57,45497,26920,8.11,296.25
23,3,AIR ARABIA-ABU DHABI,47399,41089,31.25,473.29,33526,50643,56.03,381.19,29379,48749,72.72,327.94
23,4,AIR ARABIA-ABU DHABI,31676,39978,73.12,368.67,36700,34840,165.95,213.86,44773,38517,34.32,211.96
24,1,AIR ARABIA-ABU DHABI,43145,52577,68.40,258.99,32737,43686,67.89,350.95,36515,39498,55.49,442.27
24,2,AIR ARABIA-ABU DHABI,42033,49029,57.68,505.19,48255,46774,16.46,614.06,48511,31117,25.92,561.14
15,1,AIR ASIA BERHAD,25906,27950,33.52,307.43,20670,21436,21.47,331.63,21254,21601,59.67,356.49
15,2,AIR ASIA BERHAD,20673,22688,19.52,439.35,21707,20546,59.63,263.41,25188,23805,21.91,304.39
15,3,AIR ASIA BERHAD,23602,23178,22.97,345.28,17944,17842,21.73,288.03,26759,26841,90.84,335.98
15,4,AIR ASIA BERHAD,21206,20220,17.10,369.35,10840,8464,8.03,82.05,35788,32463,34.78,246.11
16,1,AIR ASIA BERHAD,33005,35110,27.26,269.37,30677,31080,58.45,230.63,30868,31059,44.39,326.90
16,2,AIR ASIA BERHAD,30354,32659,54.73,295.19,36190,32654,62.70,335.60,33699,26871,53.58,310.48
16,3,AIR ASIA BERHAD,28796,26802,70.82,323.99,25398,24589,78.67,326.88,29003,30199,66.36,359.23
16,4,AIR ASIA BERHAD,31317,25955,98.94,369.72,29162,24764,56.40,318.13,32383,33971,68.86,350.28
17,1,AIR ASIA BERHAD,35155,34051,112.26,372.23,27592,30594,61.35,301.64,30714,30601,86.99,322.26
17,2,AIR ASIA BERHAD,34047,34889,91.07,375.08,45271,42250,101.25,307.90,28866,25669,63.52,238.09
17,3,AIR ASIA BERHAD,53432,51643,98.63,395.65,39859,34588,87.31,361.71,35846,40056,87.13,277.20
17,4,AIR ASIA BERHAD,41753,37084,63.38,311.99,44173,36804,71.02,347.10,48241,44530,94.50,275.75
18,1,AIR ASIA BERHAD,48178,50121,89.99,325.51,36678,37113,89.80,286.79,37689,38985,90.71,296.32
18,2,AIR ASIA BERHAD,37287,38845,100.67,300.85,40296,38802,105.58,304.08,37620,32161,82.34,259.35
18,3,AIR ASIA BERHAD,46012,41571,194.33,396.60,50208,49388,195.79,426.87,42213,43547,177.01,309.06
18,4,AIR ASIA BERHAD,44354,40647,182.76,374.63,47340,42690,230.16,361.98,52547,47880,235.83,292.00
19,1,AIR ASIA BERHAD,54603,54153,226.55,388.20,40119,46408,196.65,381.10,48151,46186,186.67,440.19
19,2,AIR ASIA BERHAD,49002,51896,177.57,439.93,53200,47183,214.19,499.67,55520,48524,257.68,433.40
19,3,AIR ASIA BERHAD,50208,49388,195.79,426.87,48238,47462,194.97,531.48,51381,54242,174.53,448.38
20,3,AIR ASIA BERHAD,0,0,0.20,22.82,0,0,0.00,23.14,0,0,0.08,15.92
21,4,AIR ASIA BERHAD,0,0,0.00,0.00,0,0,22.40,9.46,0,0,0.00,0.00
22,2,AIR ASIA BERHAD,4369,4044,13.90,75.18,15212,15783,22.48,181.69,29348,30932,37.99,229.16
22,3,AIR ASIA BERHAD,31625,37287,71.99,288.14,32149,36579,71.45,324.70,29716,34951,40.59,250.27
22,4,AIR ASIA BERHAD,32922,32334,51.82,330.78,35125,33461,71.19,238.95,38719,33298,56.64,233.21
23,1,AIR ASIA BERHAD,35852,40478,30.64,249.87,30400,34811,60.81,218.67,30998,38494,40.46,347.64
23,2,AIR ASIA BERHAD,34202,35713,44.88,388.68,37634,40729,43.92,343.00,42221,39394,72.77,300.74
23,3,AIR ASIA BERHAD,39070,42067,95.51,289.24,38612,38386,102.34,351.63,33339,39133,136.19,366.34
23,4,AIR ASIA BERHAD,37023,37363,127.50,402.24,41789,34900,109.25,385.59,43294,37093,117.14,406.63
24,1,AIR ASIA BERHAD,40158,44015,100.98,383.89,37846,37810,91.34,319.70,39088,40316,68.84,469.94
24,2,AIR ASIA BERHAD,39414,40497,82.05,411.80,57571,58634,82.15,410.17,57773,50373,96.73,408.94
16,1,AIR ASIA X,0,0,0.00,0.00,0,0,0.00,0.00,5136,5550,201.84,184.64
16,2,AIR ASIA X,4865,5369,160.06,222.00,4995,5584,146.91,240.82,5132,5165,140.94,240.38
16,3,AIR ASIA X,4730,4873,188.01,208.46,4737,5081,195.67,223.33,4738,4868,150.45,244.18
16,4,AIR ASIA X,5374,5372,217.42,234.53,5431,5335,179.15,196.87,5109,5534,185.04,238.06
17,1,AIR ASIA X,5452,5362,199.77,179.83,4852,5220,155.97,190.25,5637,5925,181.16,259.95
17,2,AIR ASIA X,5084,5278,125.77,260.80,5165,5268,158.61,262.61,5701,5682,167.99,246.90
17,3,AIR ASIA X,5488,5449,169.64,204.96,4889,4777,198.89,262.46,4792,4889,207.46,258.56
17,4,AIR ASIA X,5842,5390,180.68,320.56,5483,5322,183.77,292.25,5805,5917,237.26,284.36
18,1,AIR ASIA X,5808,6144,216.01,272.90,5204,5395,179.90,268.41,5592,5747,198.39,312.78
18,2,AIR ASIA X,5719,6039,205.38,310.56,5331,5760,169.56,303.35,5547,5880,149.51,277.34
18,3,AIR ASIA X,5944,6082,188.39,246.50,5534,5116,138.17,268.75,5108,5288,150.57,273.19
18,4,AIR ASIA X,5295,5264,209.30,302.79,5205,5105,211.99,269.88,5065,5425,216.01,272.90
19,1,AIR ASIA X,5242,5203,191.77,231.85,4611,5112,125.18,213.56,5321,5735,191.96,291.34
19,2,AIR ASIA X,5029,5494,135.11,283.48,5408,5683,164.31,265.07,5535,5755,164.35,222.40
19,3,AIR ASIA X,5428,5603,158.38,232.03,5060,5080,127.08,262.27,13038,12777,190.38,245.72
19,4,AIR ASIA X,13662,11609,137.28,241.35,14515,13105,133.49,249.84,15663,14340,207.35,222.88
20,1,AIR ASIA X,14613,13912,158.63,220.46,11971,14100,126.99,240.76,4969,6045,75.22,170.49
20,2,AIR ASIA X,0,0,0.00,0.00,0,0,0.38,66.52,0,0,30.17,79.58
20,3,AIR ASIA X,0,0,39.97,116.08,0,0,38.31,77.26,0,0,0.00,0.00
21,2,AIR ASIA X,0,0,123.40,94.77,0,0,115.40,146.75,0,0,116.87,52.42
21,3,AIR ASIA X,0,0,175.96,281.46,0,0,150.15,287.89,0,0,173.06,231.94
21,4,AIR ASIA X,0,0,424.13,331.84,0,0,295.23,204.15,0,0,399.90,267.53
22,1,AIR ASIA X,0,0,134.76,27.81,0,0,137.41,209.69,0,0,341.96,327.73
22,2,AIR ASIA X,152,144,74.40,171.86,899,1151,54.43,104.52,1167,1507,66.70,162.88
22,3,AIR ASIA X,2177,2908,80.23,227.96,2603,3001,96.21,213.15,2610,3170,79.73,191.41
22,4,AIR ASIA X,4636,3883,86.32,311.20,5249,4801,124.98,177.10,4984,4942,139.32,229.26
23,1,AIR ASIA X,5251,5517,97.95,212.65,4879,5774,74.42,245.81,4681,5940,212.82,282.81
23,2,AIR ASIA X,5007,4508,195.09,236.13,4833,5893,178.81,256.55,5689,5946,175.53,224.04
23,3,AIR ASIA X,5669,5756,230.12,254.55,5022,5010,238.36,240.34,4794,5223,244.84,244.61
23,4,AIR ASIA X,5686,5127,258.46,239.95,5638,4727,102.72,190.22,6061,5992,163.57,229.61
24,1,AIR ASIA X,6110,6012,143.10,231.37,9197,9591,107.99,222.92,4986,6150,129.81,289.95
24,2,AIR ASIA X,7744,8857,151.05,287.52,8260,10075,96.12,281.00,10959,11714,132.82,230.40
15,1,AIR ASTANA,2608,3080,0.00,25.51,1979,2557,0.60,27.64,1995,2681,5.14,31.39
15,2,AIR ASTANA,1326,1814,1.37,29.32,1212,1807,2.61,35.66,2129,1703,0.95,19.98
15,3,AIR ASTANA,2559,1457,1.71,30.41,3208,2429,1.04,38.00,1474,3311,0.09,47.03
15,4,AIR ASTANA,1997,2394,1.70,47.62,2213,2267,0.63,23.04,2748,2041,2.22,48.01
16,1,AIR ASTANA,2497,3012,0.66,16.19,2059,2313,2.35,20.30,2488,3097,0.08,21.26
16,2,AIR ASTANA,1806,2597,0.82,32.36,2139,2609,1.06,32.37,3842,1878,0.34,49.85
16,3,AIR ASTANA,3668,2531,2.61,15.32,2667,3997,1.15,37.44,2338,4318,1.12,39.88
16,4,AIR ASTANA,3265,3247,3.90,39.30,3089,3606,0.96,63.86,3479,2277,1.65,54.66
17,1,AIR ASTANA,3821,3808,2.93,47.92,3308,3830,0.80,64.44,3036,4266,1.75,64.64
17,2,AIR ASTANA,2379,3220,2.23,65.64,2619,3289,2.90,54.49,4723,2336,2.38,50.70
17,3,AIR ASTANA,5481,3186,1.23,47.98,3315,5819,1.07,53.96,2718,5639,0.64,31.52
17,4,AIR ASTANA,5044,5177,1.65,39.19,4973,4788,1.30,47.68,5197,3507,4.04,70.01
18,1,AIR ASTANA,4964,4828,11.11,51.71,4800,5073,7.79,54.20,4452,6105,15.44,74.91
18,2,AIR ASTANA,4396,5617,12.21,79.64,4182,4937,21.07,79.46,6768,3916,22.75,54.95
18,3,AIR ASTANA,6368,3794,28.63,62.47,4115,5958,16.86,85.78,3049,6928,25.33,55.32
18,4,AIR ASTANA,5256,5457,29.43,58.53,5311,5429,32.31,68.01,6584,4742,43.54,40.33
19,1,AIR ASTANA,5932,5846,28.22,54.98,4950,5660,24.33,41.40,5066,6180,35.64,74.51
19,2,AIR ASTANA,1184,1922,5.98,33.72,0,0,0.00,0.00,323,77,0.00,6.18
19,3,AIR ASTANA,2777,1719,6.21,32.38,3187,4308,7.35,39.67,3578,7337,11.01,11.01
19,4,AIR ASTANA,3187,4308,7.35,39.67,6472,6149,18.18,47.52,7837,5479,12.35,38.34
20,1,AIR ASTANA,6700,6736,7.54,60.02,6624,7591,11.34,59.65,4887,4525,0.76,72.70
20,2,AIR ASTANA,0,0,0.00,0.00,0,0,0.00,0.00,1323,0,0.00,1.12
20,3,AIR ASTANA,178,11,0.24,346.40,36,12,0.41,207.08,0,0,0.19,226.36
20,4,AIR ASTANA,0,106,0.25,155.57,0,0,0.79,108.83,0,142,0.13,128.30
21,1,AIR ASTANA,0,143,1.79,137.60,0,0,0.01,161.66,0,0,1.13,86.26
21,4,AIR ASTANA,0,222,0.00,6.44,0,153,0.00,0.13,453,792,0.10,13.99
22,1,AIR ASTANA,515,792,0.00,13.63,910,1186,0.10,15.69,864,1134,0.14,24.01
22,2,AIR ASTANA,912,1327,2.41,32.24,1560,1924,0.12,42.33,2589,1564,0.42,51.39
22,4,AIR ASTANA,3850,3226,0.02,45.27,4576,5078,2.99,59.55,6090,5632,0.64,83.34
23,1,AIR ASTANA,4338,4892,4.40,54.12,3069,3475,0.01,38.55,3585,4774,0.49,44.49
23,2,AIR ASTANA,3403,4046,0.32,42.97,3575,3977,0.50,23.89,6492,4071,0.01,31.16
23,4,AIR ASTANA,7248,7946,1.74,62.40,6004,5954,3.19,60.45,7000,6443,1.29,84.11
24,1,AIR ASTANA,7108,7053,0.00,49.73,5262,5816,6.61,91.78,6014,6780,20.42,103.59
24,2,AIR ASTANA,6175,7649,0.02,108.41,7813,7357,5.51,115.05,9004,6104,6.75,153.54
15,1,AIR AUSTRAL,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
15,2,AIR AUSTRAL,0,0,1.36,2.73,293,326,1.36,2.73,125,69,2.48,0.00
15,3,AIR AUSTRAL,271,225,2.32,1.46,179,273,5.09,0.49,211,169,0.00,4.94
15,4,AIR AUSTRAL,281,310,6.79,2.71,253,230,3.56,1.60,224,222,5.25,1.38
16,1,AIR AUSTRAL,387,346,3.83,1.41,253,265,2.15,2.70,287,256,0.00,5.29
16,2,AIR AUSTRAL,252,297,0.00,5.29,200,251,3.83,0.46,158,171,1.19,0.65
16,3,AIR AUSTRAL,246,213,2.93,0.40,218,271,0.63,1.35,132,138,3.56,1.54
16,4,AIR AUSTRAL,251,213,3.45,2.24,614,396,0.00,0.00,932,540,0.08,14.71
17,1,AIR AUSTRAL,749,1059,0.00,5.59,352,424,0.00,5.59,594,621,0.52,6.91
17,2,AIR AUSTRAL,347,462,0.00,3.18,353,421,0.00,2.43,249,287,0.00,0.91
17,3,AIR AUSTRAL,780,468,0.41,3.06,271,539,0.42,6.69,281,339,0.05,1.00
17,4,AIR AUSTRAL,376,417,1.55,5.57,340,270,0.17,4.83,769,451,0.24,5.27
18,1,AIR AUSTRAL,739,1113,0.06,3.18,356,379,0.34,2.94,618,716,0.17,6.54
18,2,AIR AUSTRAL,204,295,0.19,7.62,388,488,0.00,6.87,218,245,0.42,4.23
18,3,AIR AUSTRAL,248,268,0.00,4.24,276,389,0.00,3.83,271,379,0.34,6.25
18,4,AIR AUSTRAL,606,503,0.01,1.84,484,447,0.00,3.49,680,643,0.00,3.31
19,1,AIR AUSTRAL,934,1141,0.00,0.92,451,546,0.26,1.04,689,892,0.02,1.04
19,2,AIR AUSTRAL,610,445,0.55,2.75,457,679,0.00,2.78,487,570,0.00,0.73
19,3,AIR AUSTRAL,1795,1776,0.01,6.26,535,811,0.09,0.69,329,315,0.00,2.26
19,4,AIR AUSTRAL,727,485,0.23,2.48,706,408,0.06,2.67,780,434,0.07,0.59
20,1,AIR AUSTRAL,913,1138,0.07,0.08,461,413,0.26,1.72,273,255,0.00,1.01
22,2,AIR AUSTRAL,0,0,0.00,0.00,275,361,0.10,2.57,406,559,0.27,6.79
22,3,AIR AUSTRAL,681,572,0.48,7.13,340,541,0.23,2.82,383,384,0.01,2.04
22,4,AIR AUSTRAL,430,538,0.00,6.32,468,378,0.27,3.68,835,660,0.00,3.96
